#HistoryID	ComplaintID	Action	OldStatus	NewStatus	OldPriority	NewPriority	ChangedBy	Remarks	Timestamp
HIST-1787639324422	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 11:58:44
HIST-1787639389899	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 11:59:49
HIST-1787639389943	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 11:59:49
HIST-1787639389947	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 11:59:49
HIST-1787639664739	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:04:24
HIST-1787639664763	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:04:24
HIST-1787639664766	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:04:24
HIST-1787639990661	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:09:50
HIST-1787639990683	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:09:50
HIST-1787639990688	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:09:50
HIST-1787640305168	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:15:05
HIST-1787640305200	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:15:05
HIST-1787640305203	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:15:05
HIST-1787640416423	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:16:56
HIST-1787640416463	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:16:56
HIST-1787640416467	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:16:56
HIST-1787640449826	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-25 12:17:29
HIST-1787640449847	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-25 12:17:29
HIST-1787640449850	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-25 12:17:29
HIST-1787761716479	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 21:58:36
HIST-1787761716507	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 21:58:36
HIST-1787761716510	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 21:58:36
HIST-1787761962203	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:02:42
HIST-1787761962231	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:02:42
HIST-1787761962236	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:02:42
HIST-1787761995827	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:03:15
HIST-1787761995856	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:03:15
HIST-1787761995859	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:03:15
HIST-1787762041179	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:04:01
HIST-1787762041206	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:04:01
HIST-1787762041212	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:04:01
HIST-1787762084354	CMP-TEST-001	REGISTERED	-	OPEN	-	HIGH	Tester	Initial complaint registration	2026-08-26 22:04:44
HIST-1787762084381	CMP-TEST-001	STATUS_CHANGE	OPEN	RESOLVED	HIGH	HIGH	Technician	Replaced faulty power adapter	2026-08-26 22:04:44
HIST-1787762084385	CMP-TEST-001	DELETED	RESOLVED	DELETED	HIGH	-	Admin	Complaint permanently removed	2026-08-26 22:04:44
HST-565	CMP-165	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787473141227	Status updated to Assigned
HST-66	CMP-166	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-01	John Doe	1787480341227	Initial ticket creation.
HST-566	CMP-166	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787494741227	Status updated to In Progress
HST-67	CMP-167	COMPLAINT_SUBMITTED		NEW		LOW	CUST-02	Alice Smith	1787501941227	Initial ticket creation.
HST-567	CMP-167	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1787516341227	Status updated to Resolved
HST-68	CMP-168	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-03	Robert Brown	1787523541227	Initial ticket creation.
HST-568	CMP-168	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787537941227	Status updated to Closed
HST-69	CMP-169	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-04	Emily Clark	1787545141227	Initial ticket creation.
HST-569	CMP-169	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787559541227	Status updated to Escalated
HST-70	CMP-170	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-05	Michael Scott	1787566741227	Initial ticket creation.
HST-570	CMP-170	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1787581141227	Status updated to Waiting for Customer
HST-71	CMP-171	COMPLAINT_SUBMITTED		NEW		LOW	CUST-01	John Doe	1787588341227	Initial ticket creation.
HST-571	CMP-171	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1787602741227	Status updated to Reopened
HST-72	CMP-172	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-02	Alice Smith	1787609941227	Initial ticket creation.
HST-73	CMP-173	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-03	Robert Brown	1787631541227	Initial ticket creation.
HST-573	CMP-173	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787645941227	Status updated to Assigned
HST-74	CMP-174	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-04	Emily Clark	1787653141227	Initial ticket creation.
HST-574	CMP-174	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787667541227	Status updated to In Progress
HST-75	CMP-175	COMPLAINT_SUBMITTED		NEW		LOW	CUST-05	Michael Scott	1787674741227	Initial ticket creation.
HST-575	CMP-175	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1787689141227	Status updated to Resolved
HST-76	CMP-176	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-01	John Doe	1787696341227	Initial ticket creation.
HST-576	CMP-176	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787710741227	Status updated to Closed
HST-77	CMP-177	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-02	Alice Smith	1787717941227	Initial ticket creation.
HST-577	CMP-177	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787732341227	Status updated to Escalated
HST-78	CMP-178	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-03	Robert Brown	1787739541227	Initial ticket creation.
HST-578	CMP-178	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1787753941227	Status updated to Waiting for Customer
HST-79	CMP-179	COMPLAINT_SUBMITTED		NEW		LOW	CUST-04	Emily Clark	1787761141227	Initial ticket creation.
HST-579	CMP-179	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1787775541227	Status updated to Reopened
HST-80	CMP-180	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-05	Michael Scott	1787782741227	Initial ticket creation.
HST-81	CMP-181	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-01	John Doe	1787804341227	Initial ticket creation.
HST-581	CMP-181	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787818741227	Status updated to Assigned
HST-82	CMP-182	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-02	Alice Smith	1787825941227	Initial ticket creation.
HST-582	CMP-182	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787840341227	Status updated to In Progress
HST-83	CMP-183	COMPLAINT_SUBMITTED		NEW		LOW	CUST-03	Robert Brown	1787847541227	Initial ticket creation.
HST-583	CMP-183	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1787861941227	Status updated to Resolved
HST-84	CMP-184	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-04	Emily Clark	1787869141227	Initial ticket creation.
HST-584	CMP-184	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1787883541227	Status updated to Closed
HST-85	CMP-185	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-05	Michael Scott	1787890741227	Initial ticket creation.
HST-585	CMP-185	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787905141227	Status updated to Escalated
HST-86	CMP-186	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-01	John Doe	1787912341227	Initial ticket creation.
HST-586	CMP-186	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1787926741227	Status updated to Waiting for Customer
HST-87	CMP-187	COMPLAINT_SUBMITTED		NEW		LOW	CUST-02	Alice Smith	1787933941227	Initial ticket creation.
HST-587	CMP-187	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1787948341227	Status updated to Reopened
HST-88	CMP-188	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-03	Robert Brown	1787955541227	Initial ticket creation.
HST-89	CMP-189	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-04	Emily Clark	1787977141227	Initial ticket creation.
HST-589	CMP-189	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1787991541227	Status updated to Assigned
HST-90	CMP-190	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-05	Michael Scott	1787998741227	Initial ticket creation.
HST-590	CMP-190	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1788013141227	Status updated to In Progress
HST-91	CMP-191	COMPLAINT_SUBMITTED		NEW		LOW	CUST-01	John Doe	1788020341227	Initial ticket creation.
HST-591	CMP-191	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1788034741227	Status updated to Resolved
HST-92	CMP-192	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-02	Alice Smith	1788041941227	Initial ticket creation.
HST-592	CMP-192	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1788056341227	Status updated to Closed
HST-93	CMP-193	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-03	Robert Brown	1788063541227	Initial ticket creation.
HST-593	CMP-193	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1788077941227	Status updated to Escalated
HST-94	CMP-194	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-04	Emily Clark	1788085141227	Initial ticket creation.
HST-594	CMP-194	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1788099541227	Status updated to Waiting for Customer
HST-95	CMP-195	COMPLAINT_SUBMITTED		NEW		LOW	CUST-05	Michael Scott	1788106741227	Initial ticket creation.
HST-595	CMP-195	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1788121141227	Status updated to Reopened
HST-96	CMP-196	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-01	John Doe	1788128341227	Initial ticket creation.
HST-97	CMP-197	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-02	Alice Smith	1788149941227	Initial ticket creation.
HST-597	CMP-197	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1788164341227	Status updated to Assigned
HST-98	CMP-198	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-03	Robert Brown	1788171541227	Initial ticket creation.
HST-598	CMP-198	STATUS_UPDATE	NEW	IN_PROGRESS	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1788185941227	Status updated to In Progress
HST-99	CMP-199	COMPLAINT_SUBMITTED		NEW		LOW	CUST-04	Emily Clark	1788193141227	Initial ticket creation.
HST-599	CMP-199	STATUS_UPDATE	NEW	RESOLVED	LOW	LOW	STAFF-AUTO	System Coordinator	1788207541227	Status updated to Resolved
HST-100	CMP-200	COMPLAINT_SUBMITTED		NEW		CRITICAL	CUST-05	Michael Scott	1788214741227	Initial ticket creation.
HST-600	CMP-200	STATUS_UPDATE	NEW	CLOSED	CRITICAL	CRITICAL	STAFF-AUTO	System Coordinator	1788229141227	Status updated to Closed
HST-101	CMP-201	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-01	John Doe	1788236341227	Initial ticket creation.
HST-601	CMP-201	STATUS_UPDATE	NEW	ESCALATED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1788250741227	Status updated to Escalated
HST-102	CMP-202	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-02	Alice Smith	1788257941227	Initial ticket creation.
HST-602	CMP-202	STATUS_UPDATE	NEW	WAITING_FOR_CUSTOMER	HIGH	HIGH	STAFF-AUTO	System Coordinator	1788272341227	Status updated to Waiting for Customer
HST-103	CMP-203	COMPLAINT_SUBMITTED		NEW		LOW	CUST-03	Robert Brown	1788279541227	Initial ticket creation.
HST-603	CMP-203	STATUS_UPDATE	NEW	REOPENED	LOW	LOW	STAFF-AUTO	System Coordinator	1788293941227	Status updated to Reopened
HST-104	CMP-204	COMPLAINT_SUBMITTED		NEW		HIGH	CUST-04	Emily Clark	1788301141227	Initial ticket creation.
HST-105	CMP-205	COMPLAINT_SUBMITTED		NEW		MEDIUM	CUST-05	Michael Scott	1788322741227	Initial ticket creation.
HST-605	CMP-205	STATUS_UPDATE	NEW	ASSIGNED	MEDIUM	MEDIUM	STAFF-AUTO	System Coordinator	1788337141227	Status updated to Assigned
